epoch,speed,totalGForce,gForceX,gForceY,steering_angle,sats,lat,lng
1785630927800,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630927900,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928100,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928200,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928300,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928400,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928600,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928600,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928700,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928700,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928800,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928800,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928900,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630928900,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929100,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929100,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929200,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929200,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929300,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929300,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929500,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929600,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929700,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630929900,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630930000,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836185
1785630930200,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836185
1785630930300,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836185
1785630930400,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630930500,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630930700,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630930800,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630930900,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931000,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931000,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931200,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931300,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931400,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931500,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931600,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931600,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931800,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931800,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630931900,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630932000,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630932100,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630932100,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630932300,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630932400,0.0,0.00,0.00,0.00,0.0,17,-23.605366,-46.836186
1785630932500,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836186
1785630932600,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836186
1785630932600,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836186
1785630932800,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836186
1785630932800,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836186
1785630932900,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836186
1785630933000,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630933000,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630933100,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630933300,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630933400,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630933500,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630933600,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630933700,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630933900,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630933900,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934000,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934100,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934200,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934300,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934400,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934500,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934700,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934700,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934800,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630934900,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935000,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935100,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935100,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935300,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935400,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935500,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935600,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935700,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935900,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630935900,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936000,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936000,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936100,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936200,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936300,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936500,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936600,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936700,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936800,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630936900,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630937000,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630937100,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630937200,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630937300,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630937400,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630937500,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630937700,0.0,0.00,0.00,0.00,0.0,17,-23.605367,-46.836187
1785630937800,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630937900,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630938000,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630938100,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630938200,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630938300,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630938500,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630938600,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630938700,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630938800,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630938900,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630939000,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630939100,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630939200,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630939300,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630939400,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630939500,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630939700,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630939700,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836187
1785630939800,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630939800,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630939900,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630940100,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630940200,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630940300,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630940500,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630940600,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630940700,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630940900,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630941000,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630941100,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630941300,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630941400,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630941600,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630941700,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630941800,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942000,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942100,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942200,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942400,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942400,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942500,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942600,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942700,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942700,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942800,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942800,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630942900,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630943100,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630943200,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630943300,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630943400,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
1785630943500,0.0,0.00,0.00,0.00,0.0,17,-23.605368,-46.836186
